Event,Tm,J1,J2,St,S,n,Q
E,75.49964124607015,75.14388388795147,83.09488721945077,75.49964124607015,1,44,"J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2"
J1,76.31125901350246,76.65600025329763,83.09488721945077,77.19334050834989,1,43,"J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2"
E,77.19334050834989,76.65600025329763,83.09488721945077,77.19334050834989,1,44,"J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1"
J2,77.79088354961776,76.65600025329763,77.90969598017837,80.03669162876983,1,43,"J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1"
J2,78.31054661549274,76.65600025329763,79.15450670172268,80.03669162876983,1,44,"J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1, J2"
J2,78.64447795452921,76.65600025329763,92.10506647333541,80.03669162876983,1,45,"J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1, J2, J2"
J1,78.83116117443326,78.98035371478203,92.10506647333541,80.03669162876983,1,46,"J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1, J2, J2, J2"
E,80.03669162876983,78.98035371478203,92.10506647333541,80.03669162876983,1,47,"J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1, J2, J2, J2, J1"
J2,80.7031974407935,78.98035371478203,83.11781748989084,81.47076414333567,1,46,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1, J2, J2, J2, J1"
E,81.47076414333567,78.98035371478203,83.11781748989084,81.47076414333567,1,47,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1, J2, J2, J2, J1, J2"
J1,82.30286226091899,82.57384482832173,83.11781748989084,84.04720591818187,1,46,"J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1, J2, J2, J2, J1, J2"
J1,82.62374482189131,83.4660972274201,83.11781748989084,84.04720591818187,1,47,"J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1, J2, J2, J2, J1, J2, J1"
J1,82.78208587280818,83.89073536514482,83.11781748989084,84.04720591818187,1,48,"J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1, J2, J2, J2, J1, J2, J1, J1"
E,84.04720591818187,83.89073536514482,83.11781748989084,84.04720591818187,1,49,"J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1, J2, J1, J2, J2, J2, J1, J2, J1, J1, J1"
